obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"389.39122"	"389.391202"	"7100"	"5.45e+05"	B+	"2.43269470"	"5.61584517"	"5"	"5"		"T5720"	"L11631"	
"389.40117"	"389.40114"	"2750"	"1.03e+07"	B	"3.30092244"	"6.48399171"	"2"	"2"		"T5720"	"L11631"	
"389.56562"	"389.565597"	"740000"	"9.39e+06"	A	"0.11011433"	"3.29183986"	"1"	"0"		"T3547"	"L11631"	
"389.74485"	"389.74486"	"4270"	"1.78e+06"	D+	"2.94879294"	"6.12905507"	"5"	"6"		"T5720"	"L11631"	
"389.78896"	"389.78893"	"45700"	"6.20e+06"	B	"2.69240763"	"5.87231021"	"5"	"6"		"T5720"	"L11631"	
"389.80086"	"389.800874"	"19500"	"8.00e+05"	C+	"1.01105568"	"4.19086081"	"1"	"2"		"T5720"	"L11631"	
"389.90286"	"389.902841"	"7200"	"7.60e+05"	B+	"2.45343044"	"5.63240401"	"4"	"4"		"T5720"	"L11631"	
"389.97071"	"389.970707"	"1070000"	"2.58e+06"	A	"0.08728574"	"3.26570610"	"2"	"2"		"T3547"	"L11631"	
"390.0515"	"390.051516"	"3090bl"	"7.9e+06"	D	"3.24096914"	"6.41873101"	"3"	"3"		"T2491n"	"L11631"	
"390.29455"	"390.294512"	"302000"	"2.14e+07"	A	"1.55735733"	"4.73314079"	"3"	"3"		"T3831"	"L11631"	
"390.38976"	"390.38977"	"11200"	"7.61e+06"	B	"2.99035244"	"6.16536100"	"4"	"4"		"T5720"	"L11631"	
"390.64795"	"390.647918"	"234000"	"8.32e+05"	A	"0.11011433"	"3.28302483"	"1"	"1"		"T3547"	"L11631"	
"390.65320"	"390.652971"	"380"	""		"2.72754450"	"5.90041395"	"4"	"4"		""	"L11631"	
"390.67468"	"390.67470"	"3160"	"7.05e+06"	B	"3.30092244"	"6.47361547"	"2"	"3"		"T5720"	"L11631"	
"390.74650"	"390.74651"	"3090"	"8.15e+05"	B	"2.75857762"	"5.93068755"	"3"	"3"		"T5720"	"L11631"	
"390.79338"	"390.793374"	"12300"	"6.67e+06"	C	"2.75857762"	"5.93030716"	"3"	"2"		"T5720"	"L11631"	
"390.88423"	"390.88418"	"910"	""		"4.20888328"	"7.3798760"	"2"	"3"		""	"L11631"	
"390.96573"	"390.965801"	"1910"	"5.7e+06"	E	"3.28302483"	"6.45335558"	"1"	"2"		"T2578n"	"L11631"	
