obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"433.29146"	"433.2915+"	"39"	"1.5e+07"	E	"1.5667416"	"4.4273876"	"1"	"1"		"T4515"	"L9224"	
"435.03255"	"435.0326+"	"271"	"6.0e+07"	E	"1.5667416"	"4.4159389"	"1"	"2"		"T4515"	"L9224"	
"435.95269"	"435.9527+"	"9"	""		"1.6756148"	"4.5187988"	"2"	"1"		""	"L9224"	
"440.25386"	"440.2538+"	"273"	"2.7e+07"	C	"1.5667416"	"4.3821487"	"1"	"2"		"T5429"	"L9224"	
"440.68319"	"440.6832+"	"29"	"1.0e+07"	E	"1.6756148"	"4.4882791"	"2"	"2"		"T4515"	"L9224"	
"441.36612"	"441.3661+"	"13"	""		"1.6756148"	"4.4839272"	"2"	"3"		""	"L9224"	
"443.18943"	"443.1894+"	"374"	"1.2e+08"	E	"1.5207932"	"4.3175521"	"0"	"1"		"T4515"	"L9224"	
"446.70914"	"446.7091+"	"30"	"6.6e+06"	E	"1.6756148"	"4.4503378"	"2"	"3"		"T4515"	"L9224"	
"448.8980"	"448.8980+"	"234"	"2.8e+07"	C+	"1.6756148"	"4.4368084"	"2"	"3"		"T5495"	"L9224"	
"449.3638"	"449.3638+"	"137"	"2.0e+07"	C+	"1.6756148"	"4.4339461"	"2"	"2"		"T5495"	"L9224"	
"450.4348"	"450.4348+"	"5"	""		"1.6756148"	"4.4273876"	"2"	"1"		""	"L9224"	
"450.5924"	"450.5924+"	"209"	"1.1e+08"	E	"1.5667416"	"4.3175521"	"1"	"1"		"T4515"	"L9224"	
"452.3167"	"452.3167+"	"327"	"9.6e+07"	E	"1.6756148"	"4.4159389"	"2"	"2"		"T4515"	"L9224"	
"457.3853"	"457.3853+"	"230"	"1.21e+08"	B	"1.5667416"	"4.2766990"	"1"	"0"		"T5429"	"L9224"	
"457.9638"	"457.9638+"	"580"	"7.0e+07"	C+	"1.6756148"	"4.3821487"	"2"	"2"		"T5429"	"L9224"	
"458.9756"	"458.9756+"	"22"	""		"1.1200690"	"3.8206366"	"1"	"1"		""	"L9224"	
"459.1824"	"459.1824+"	"28"	"1.6e+06"	E	"1.1425765"	"3.8419281"	"2"	"2"		"T4515"	"L9224"	
"459.9717"	"459.9717+"	"108"	"4.1e+07"	B+	"1.5667416"	"4.2614611"	"1"	"0"		"T5429"	"L9224"	
"460.4983"	"460.4983+"	"28"	"7.7e+06"	E	"1.1200690"	"3.8117070"	"1"	"0"		"T4515"	"L9224"	
"461.9920"	"461.9920+"	"40"	"2.7e+06"	C+	"1.5207932"	"4.2037286"	"0"	"1"		"T5495"	"L9224"	
"462.8331"	"462.8331+"	"63"	"6.0e+06"	E	"1.1425765"	"3.8206366"	"2"	"1"		"T4515"	"L9224"	
"467.3619"	"467.3619+"	"133"	"6.5e+06"	E	"1.1898185"	"3.8419281"	"3"	"2"		"T4515"	"L9224"	
"469.1614"	"469.1614+"	"306"	"1.6e+08"	E	"1.6756148"	"4.3175521"	"2"	"1"		"T4515"	"L9224"	
