obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"659.968"	"659.958"	"0h"	""		"6.946821"	"8.824970"	"7/2"	"5/2"		""	"L772"	
"662.161"	"662.160"	"30h"	""		"6.946821"	"8.818726"	"7/2"	"7/2"		""	"L772"	
"662.967"	"662.973"	"5h"	""		"7.205884"	"9.075491"	"5/2"	"5/2"		""	"L772"	
"663.47"	"663.461"	"2h"	""		"6.946821"	"8.815053"	"7/2"	"5/2"		""	"L772"	
"667.223"	"667.222"	"10"	""		"7.205884"	"9.063585"	"5/2"	"7/2"		""	"L772"	
"674.142"	"674.140"	"100"	""		"6.946821"	"8.785458"	"7/2"	"9/2"		""	"L772"	
"674.929"	"674.97"	"2h"	""		"5.3483348"	"7.1847068"	"1/2"	"3/2"		""	"L772"	
"677.564"	"677.569"	"2h"	""		"6.985719"	"8.815053"	"3/2"	"5/2"		""	"L772"	
"682.186"	"682.196"	"2h"	""		"6.985719"	"8.802645"	"3/2"	"3/2"		""	"L772"	
"683.546"	"683.545"	"1h"	""		"7.276745"	"9.090086"	"3/2"	"3/2"		""	"L772"	
"684.099"	"684.098"	"3h"	""		"7.276745"	"9.088620"	"3/2"	"5/2"		""	"L772"	
"688.194"	"688.1944"	"10"	""		"7.023880"	"8.824970"	"5/2"	"5/2"		""	"L772"	
"688.992"	"688.986"	"10h"	""		"6.985719"	"8.78474"	"3/2"	"1/2"		""	"L772"	
"689.090"	"689.083"	"10*"	""		"7.119078"	"8.917846"	"1/2"	"3/2"		""	"L772"	
"689.090"	"689.091"	"10*"	""		"7.276745"	"9.075491"	"3/2"	"5/2"		""	"L772"	
"690.594"	"690.588"	"100"	""		"7.023880"	"8.818726"	"5/2"	"7/2"		""	"L772"	
"692.006"	"692.0044"	"50h"	""		"7.023880"	"8.815053"	"5/2"	"5/2"		""	"L772"	
"693.582"	"693.579"	"5h"	""		"7.276745"	"9.063852"	"3/2"	"3/2"		""	"L772"	
"696.834"	"696.832"	"5"	""		"7.023880"	"8.802645"	"5/2"	"3/2"		""	"L772"	
"700.005"	"699.988"	"2h"	""		"5.3483348"	"7.119078"	"1/2"	"1/2"		""	"L772"	
"703.937"	"703.934"	"25*"	""		"7.023880"	"8.784698"	"5/2"	"3/2"		""	"L772"	
"703.937"	"703.947"	"25*"	""		"6.1227049"	"7.883492"	"3/2"	"3/2"		""	"L772"	
"703.937"	"703.963"	"25*"	""		"6.1227444"	"7.883492"	"1/2"	"3/2"		""	"L772"	
"712.466"	"712.470"	"5h"	""		"7.205884"	"8.945607"	"5/2"	"5/2"		""	"L772"	
"715.429"	"715.432"	"5"	""		"7.205884"	"8.938404"	"5/2"	"7/2"		""	"L772"	
"719.356"	"719.358"	"50h"	""		"7.205884"	"8.928948"	"5/2"	"7/2"		""	"L772"	
"742.72"	"742.722"	"5h"	""		"7.276745"	"8.945607"	"3/2"	"5/2"		""	"L772"	
"745.25"	"745.28"	"2h"	""		"7.276745"	"8.939879"	"3/2"	"3/2"		""	"L772"	
"757.009"	"757.001"	"200h"	""		"5.3483348"	"6.985719"	"1/2"	"3/2"		""	"L772"	
